year,month,state,location,species,status,food,illnesses,hospitalizations,fatalities,total_illnesses_by_year_state,illness_percentage_by_year_state
1998,April,California,Private Home/Residence,Salmonella enterica,Confirmed,unknown,7,0.0,0.0,1802,0.388457269700333
1998,April,California,Restaurant,Clostridium perfringens,Confirmed,pate,11,0.0,0.0,1802,0.6104328523862376
1998,April,California,Restaurant,Clostridium perfringens,Confirmed,unspecified,11,0.0,0.0,1802,0.6104328523862376
1998,April,California,Restaurant,Shigella boydii,Confirmed,unknown,72,7.0,0.0,1802,3.9955604883462823
1998,April,Colorado,Catering Service,Virus,Suspected,salad,11,0.0,0.0,769,1.4304291287386215
1998,April,Colorado,Catering Service,Virus,Suspected,unknown,12,0.0,0.0,769,1.5604681404421328
1998,April,Colorado,Catering Service,Virus,Suspected,unspecified,11,0.0,0.0,769,1.4304291287386215
1998,April,Colorado,Restaurant,Bacillus cereus,Suspected,beans,2,0.0,0.0,769,0.26007802340702213
1998,April,Colorado,Restaurant,Bacillus cereus,Suspected,rice,2,0.0,0.0,769,0.26007802340702213
1998,April,Colorado,Restaurant,Bacillus cereus,Suspected,unspecified,4,0.0,0.0,769,0.5201560468140443
1998,April,Florida,Catering Service,Clostridium perfringens,Suspected,sausage,3,0.0,0.0,2490,0.12048192771084339
1998,April,Florida,Catering Service,Clostridium perfringens,Suspected,unspecified,3,0.0,0.0,2490,0.12048192771084339
1998,April,Florida,Child Daycare,Norovirus genogroup II,Confirmed,hot dog,40,0.0,0.0,2490,1.6064257028112447
1998,April,Florida,Child Daycare,Norovirus genogroup II,Confirmed,unspecified,40,0.0,0.0,2490,1.6064257028112447
1998,April,Florida,Private Home/Residence,Norovirus genogroup I,Suspected,deviled eggs,12,2.0,0.0,2490,0.48192771084337355
1998,April,Florida,Private Home/Residence,Norovirus genogroup I,Suspected,salad,12,2.0,0.0,2490,0.48192771084337355
1998,April,Florida,Private Home/Residence,Norovirus genogroup I,Suspected,unspecified,12,2.0,0.0,2490,0.48192771084337355
1998,April,Florida,Restaurant,Bacillus cereus,Suspected,onion,2,0.0,0.0,2490,0.08032128514056225
1998,April,Florida,Restaurant,Bacillus cereus,Suspected,rice,3,0.0,0.0,2490,0.12048192771084339
1998,April,Florida,Restaurant,Bacillus cereus,Suspected,unspecified,2,0.0,0.0,2490,0.08032128514056225
1998,April,Florida,Restaurant,Bacillus cereus,Suspected,yellow,3,0.0,0.0,2490,0.12048192771084339
1998,April,Florida,Restaurant,Clostridium perfringens,Suspected,beef,4,0.0,0.0,2490,0.1606425702811245
1998,April,Florida,Restaurant,Clostridium perfringens,Suspected,multiple foods,6,0.0,0.0,2490,0.24096385542168677
1998,April,Florida,Restaurant,Clostridium perfringens,Suspected,potato,4,0.0,0.0,2490,0.1606425702811245
1998,April,Florida,Restaurant,Clostridium perfringens,Suspected,unspecified,8,0.0,0.0,2490,0.321285140562249
1998,April,Florida,Restaurant,Salmonella enterica,Suspected,buffalo wings,4,0.0,0.0,2490,0.1606425702811245
1998,April,Florida,Restaurant,Salmonella enterica,Suspected,chicken,7,1.0,0.0,2490,0.28112449799196787
1998,April,Florida,Restaurant,Salmonella enterica,Suspected,other,3,1.0,0.0,2490,0.12048192771084339
1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,fish,3,0.0,0.0,2490,0.12048192771084339
1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,grouper,3,0.0,0.0,2490,0.12048192771084339
1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,rice,4,0.0,0.0,2490,0.1606425702811245
1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,salmon,3,0.0,0.0,2490,0.12048192771084339
1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,spanish,4,0.0,0.0,2490,0.1606425702811245
1998,April,Florida,Restaurant,Staphylococcus aureus,Suspected,unspecified,6,0.0,0.0,2490,0.24096385542168677
1998,April,Florida,Restaurant,Vibrio parahaemolyticus,Suspected,crab,5,0.0,0.0,2490,0.2008032128514056
1998,April,Florida,Restaurant,Vibrio parahaemolyticus,Suspected,shrimp,5,0.0,0.0,2490,0.2008032128514056
1998,April,Florida,Restaurant,Vibrio parahaemolyticus,Suspected,unspecified,10,0.0,0.0,2490,0.4016064257028112
1998,April,Florida,Restaurant,Virus,Suspected,chicken salad,3,1.0,0.0,2490,0.12048192771084339
1998,April,Florida,Restaurant,Virus,Suspected,pita,3,1.0,0.0,2490,0.12048192771084339
1998,April,Hawaii,Private Home/Residence,Ciguatoxin,Confirmed,fish,5,0.0,0.0,230,2.1739130434782608
